"country","scenario","species","variable","units","y_2014","y_2015","y_2016","y_2017","y_2018"
0,0,"0","Population","People","176405000","181137000","185960000","190873000","195875000"
0,0,"0","GDP per capita","USD/year","2550.46895105004","2549.72950285464","2443.44395572438","2399.73515635788","2383.41664636224"
0,0,"0","GINI","Fraction","0.386111111111111","0.377333333333333","0.368555555555556","0.359777777777778","0.351"
0,0,"0","alpha_max","ln (GDP_pc / gini)","10","10","10","10","10"
0,0,"0","alpha_min","ln (GDP_pc / gini)","6.38871241121278","6.38315886476525","6.34537043036156","6.31854439612336","6.30284777263524"
0,0,"0","Food supply per capita","kcal/capita/day","2626","2561","2581","2539","2572"
0,0,"0","Total Food supply","kcal/year","169082428450000","169320527805000","175186407400000","176888689655000","183883532500000"
0,0,"cattle","Fraction Consumption Waste Bovine Meat","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"cattle","Fraction Food supply consumed Bovine Meat","fraction","0.00485148514851485","0.00459195626708317","0.00303758233242929","0.00308782985427334","0.00381026438569207"
0,0,"cattle","Fraction Food supply wasted Bovine Meat","fraction","9.9009900990099e-05","9.3713393205779e-05","6.19914761720264e-05","6.30169358014967e-05","7.77604976671851e-05"
0,0,"cattle","Kcal per tonne Bovine Meat","kcal per tonne","1882936.50793651","1972972.97297297","1813664.59627329","1848101.26582278","1834170.85427136"
0,0,"cattle","Loss Bovine Meat","tonnes","0","0","0","0","0"
0,0,"cattle","Stock var Bovine Meat","tonnes","-63000","-18000","0","0","0"
0,0,"cattle","Import Bovine Meat","tonnes","1000","0","0","0","0"
0,0,"cattle","Export Bovine Meat","tonnes","0","0","0","0","0"
0,0,"cattle","bovine meat production cattle","fraction","1","1","1","1","1"
0,0,"cattle","Carcass weight Bovine Meat","tonnes/head","0.121471414468767","0.12172199787016","0.0980484782140609","0.0977800455983607","0.101769224849946"
0,0,"cattle","Offtake rate Bovine Meat","Fraction","0.15881939219214","0.15645380626961","0.152985771951303","0.153405316173653","0.153824839785931"
0,0,"sheep","Fraction Consumption Waste Mutton & Goat Meat","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"sheep","Fraction Food supply consumed Mutton & Goat Meat","fraction","0.00373191165270373","0.00306130417805545","0.00303758233242929","0.00308782985427334","0.00266718506998445"
0,0,"sheep","Fraction Food supply wasted Mutton & Goat Meat","fraction","7.61614623000762e-05","6.24755954705193e-05","6.19914761720264e-05","6.30169358014967e-05","5.44323483670296e-05"
0,0,"sheep","Kcal per tonne Mutton & Goat Meat","kcal per tonne","1346863.46863469","1345622.11981567","1345622.11981567","1345622.11981567","1283919.59798995"
0,0,"sheep","Loss Mutton & Goat Meat","tonnes","0","0","0","0","0"
0,0,"sheep","Stock var Mutton & Goat Meat","tonnes","-94000","0","0","0","0"
0,0,"sheep","Import Mutton & Goat Meat","tonnes","0","0","0","0","0"
0,0,"sheep","Export Mutton & Goat Meat","tonnes","0","0","0","0","0"
0,0,"sheep","Carcass weight Mutton & Goat Meat","tonnes/head","0.0093410985741735","0.00953973095450089","0.00939365639978345","0.00968578454332553","0.00949044019548378"
0,0,"sheep","Offtake rate Mutton & Goat Meat","Fraction","0.363065326289259","0.361473270694323","0.359285309693615","0.34844874901146","0.356370953412956"
0,0,"pig","Fraction Consumption Waste Pigmeat","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"pig","Fraction Food supply consumed Pigmeat","fraction","0.00522467631378522","0.00535728231159703","0.0049360712901976","0.00501772351319417","0.00495334370139969"
0,0,"pig","Fraction Food supply wasted Pigmeat","fraction","0.000106626047220107","0.000109332292073409","0.000100736148779543","0.000102402520677432","0.000101088646967341"
0,0,"pig","Kcal per tonne Pigmeat","kcal per tonne","3234177.21518987","3234177.21518987","3142384.10596026","3206081.08108108","3227891.15646259"
0,0,"pig","Loss Pigmeat","tonnes","0","0","0","0","0"
0,0,"pig","Stock var Pigmeat","tonnes","-13000","-7000","1000","1000","-5000"
0,0,"pig","Import Pigmeat","tonnes","0","0","0","0","0"
0,0,"pig","Export Pigmeat","tonnes","0","0","0","0","0"
0,0,"pig","Carcass weight Pigmeat","tonnes/head","0.0449999723843479","0.0450000851801543","0.0450002049831401","0.0450001785666864","0.0450001044260257"
0,0,"pig","Offtake rate Pigmeat","Fraction","0.802741394473018","0.804619598556828","0.816950942904507","0.824244783129496","0.83153873727456"
0,0,"chicken","Fraction Consumption Waste Poultry Meat","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"chicken","Fraction Food supply consumed Poultry Meat","fraction","0.00111957349581112","0.000765326044513862","0.000759395583107323","0.000771957463568334","0.000762052877138414"
0,0,"chicken","Fraction Food supply wasted Poultry Meat","fraction","2.28484386900228e-05","1.56188988676298e-05","1.54978690430066e-05","1.57542339503742e-05","1.5552099533437e-05"
0,0,"chicken","Kcal per tonne Poultry Meat","kcal per tonne","765734.265734266","669724.770642202","669724.770642202","651785.714285714","675925.925925926"
0,0,"chicken","Loss Poultry Meat","tonnes","0","0","0","0","0"
0,0,"chicken","Stock var Poultry Meat","tonnes","-60000","0","0","0","0"
0,0,"chicken","Import Poultry Meat","tonnes","0","0","1000","16000","18000"
0,0,"chicken","Export Poultry Meat","tonnes","0","0","0","0","0"
0,0,"chicken","Carcass weight Poultry Meat","tonnes/head","0.001","0.001","0.001","0.001","0.001"
0,0,"chicken","Offtake rate Poultry Meat","Fraction","1.43070533372195","1.43053290877917","1.43036236642589","1.43019219983007","1.43002743159966"
0,0,"0","Dairy consumption kcal","kcal/capita/day","17","16","15","14","13"
0,0,"chicken","Fraction Consumption Waste dairy","fraction","0.001","0.001","0.001","0.001","0.001"
0,0,"0","Dairy consumption kg","kg/capita/year","1.66","1.41","1.39","1.35","1.33"
0,0,"0","Fraction food supply dairy consumed","fraction","0.00646725057121097","0.00624131198750488","0.00580588919023634","0.00550846790074833","0.00504937791601866"
0,0,"0","Fraction food supply dairy wasted","fraction","6.47372429550647e-06","6.24755954705193e-06","5.81170089112747e-06","5.51398188263096e-06","5.05443234836703e-06"
0,0,"0","Kcal per tonne dairy","kcal per tonne","3737951.80722892","4141843.97163121","3938848.92086331","3785185.18518519","3567669.17293233"
0,0,"0","Loss dairy","tonnes","53000","46000","47000","47000","48000"
0,0,"0","Stock var dairy","tonnes","0","0","0","0","0"
0,0,"0","Import dairy","tonnes","12000","8000","8000","4000","4000"
0,0,"0","Export dairy","tonnes","0","0","0","2000","3000"
0,0,"0","Feed dairy","tonnes","0","0","0","0","0"
0,0,"cattle","Milk Production","tonnes per animal","0.245798319327731","0.2374343407364","0.237773317445739","0.23759717681876","0.237373375052655"
0,0,"cattle","Milk Production","fraction","1","1","1","1","1"
0,0,"sheep","Milk Production Other","tonnes per animal","0","0","0","0","0"
0,0,"0","Eggs consumption kcal","kcal/capita/day","11","11","11","11","10"
0,0,"0","Eggs consumption kg","kg/capita/year","3.19","3.33","3.21","3.15","2.99"
0,0,"0","Fraction food supply eggs","fraction","0.00418888042650419","0.0042951971885982","0.00426191398682681","0.00433241433635289","0.00388802488335925"
0,0,"0","Kcal per tonne eggs","Kcal per tonne","1258620.68965517","1205705.70570571","1250778.81619938","1274603.17460317","1220735.78595318"
0,0,"0","Loss eggs","kg/capita/year","59000","44000","40000","46000","43000"
0,0,"0","Stock var eggs","tonnes","0","1000","1000","1000","2000"
0,0,"0","Import eggs","tonnes","1000","1000","2000","2000","3000"
0,0,"0","Export eggs","tonnes","0","0","1000","0","0"
0,0,"0","Feed eggs","tonnes","0","0","0","0","0"
0,0,"0","Egg production","tonnes per animal","0.00445993031358885","0.00613565372601517","0.00533193335903599","0.00573913043478261","0.00491151597010115"
0,0,"0","Egg production","Number of eggs per year","1.4666e+10","1.65e+10","1.625e+10","1.65e+10","1.6e+10"
0,0,"0","Egg weight","kg/egg","0.0436383471975999","0.04","0.04","0.04","0.04"
0,0,"Fats, Animals, Raw","Fraction Consumption Waste Fats, Animals, Raw","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Fats, Animals, Raw","Fraction Food supply consumed Fats, Animals, Raw","fraction","0.00261233815689261","0.00267864115579852","0.00265788454087563","0.002315872390705","0.00228615863141524"
0,0,"Fats, Animals, Raw","Fraction Food supply wasted Fats, Animals, Raw","fraction","5.33130236100533e-05","5.46661460367044e-05","5.42425416505231e-05","4.72627018511225e-05","4.6656298600311e-05"
0,0,"Fats, Animals, Raw","Kcal per tonne Fats, Animals, Raw","kcal per tonne","12166666.6666667","12775000","13447368.4210526","11526315.7894737","12166666.6666667"
0,0,"Fish, Body Oil","Fraction Consumption Waste Fish, Body Oil","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Fish, Body Oil","Fraction Food supply consumed Fish, Body Oil","fraction","0","0","0","0","0"
0,0,"Fish, Body Oil","Fraction Food supply wasted Fish, Body Oil","fraction","0","0","0","0","0"
0,0,"Fish, Body Oil","Kcal per tonne Fish, Body Oil","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Fish, Liver Oil","Fraction Consumption Waste Fish, Liver Oil","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Fish, Liver Oil","Fraction Food supply consumed Fish, Liver Oil","fraction","0","0","0","0","0"
0,0,"Fish, Liver Oil","Fraction Food supply wasted Fish, Liver Oil","fraction","0","0","0","0","0"
0,0,"Fish, Liver Oil","Kcal per tonne Fish, Liver Oil","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Offals, Edible","Fraction Consumption Waste Offals, Edible","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Offals, Edible","Fraction Food supply consumed Offals, Edible","fraction","0.000746382330540746","0.000765326044513862","0.000759395583107323","0.000771957463568334","0.000762052877138414"
0,0,"Offals, Edible","Fraction Food supply wasted Offals, Edible","fraction","1.52322924600152e-05","1.56188988676298e-05","1.54978690430066e-05","1.57542339503742e-05","1.5552099533437e-05"
0,0,"Offals, Edible","Kcal per tonne Offals, Edible","kcal per tonne","1042857.14285714","1042857.14285714","1073529.41176471","1106060.60606061","1123076.92307692"
0,0,"Meat, Other","Fraction Consumption Waste Meat, Other","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Meat, Other","Fraction Food supply consumed Meat, Other","fraction","0.00111957349581112","0.00114798906677079","0.00113909337466098","0.0011579361953525","0.00114307931570762"
0,0,"Meat, Other","Fraction Food supply wasted Meat, Other","fraction","2.28484386900228e-05","2.34283483014447e-05","2.32468035645099e-05","2.36313509255612e-05","2.33281493001555e-05"
0,0,"Meat, Other","Kcal per tonne Meat, Other","kcal per tonne","1073529.41176471","1073529.41176471","1106060.60606061","1117346.93877551","1117346.93877551"
0,0,"Aquatic Animals, Others","Fraction Consumption Waste Aquatic Animals, Others","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Aquatic Animals, Others","Fraction Food supply consumed Aquatic Animals, Others","fraction","0","0","0","0","0"
0,0,"Aquatic Animals, Others","Fraction Food supply wasted Aquatic Animals, Others","fraction","0","0","0","0","0"
0,0,"Aquatic Animals, Others","Kcal per tonne Aquatic Animals, Others","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Cephalopods","Fraction Consumption Waste Cephalopods","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Cephalopods","Fraction Food supply consumed Cephalopods","fraction","0","0","0","0","0"
0,0,"Cephalopods","Fraction Food supply wasted Cephalopods","fraction","0","0","0","0","0"
0,0,"Cephalopods","Kcal per tonne Cephalopods","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
0,0,"Crustaceans","Fraction Consumption Waste Crustaceans","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Crustaceans","Fraction Food supply consumed Crustaceans","fraction","0","0","0","0","0"
0,0,"Crustaceans","Fraction Food supply wasted Crustaceans","fraction","0","0","0","0","0"
0,0,"Crustaceans","Kcal per tonne Crustaceans","kcal per tonne","0","0","0","0","0"
0,0,"Demersal Fish","Fraction Consumption Waste Demersal Fish","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Demersal Fish","Fraction Food supply consumed Demersal Fish","fraction","0.00111957349581112","0.00114798906677079","0.000759395583107323","0.000771957463568334","0.000762052877138414"
0,0,"Demersal Fish","Fraction Food supply wasted Demersal Fish","fraction","2.28484386900228e-05","2.34283483014447e-05","1.54978690430066e-05","1.57542339503742e-05","1.5552099533437e-05"
0,0,"Demersal Fish","Kcal per tonne Demersal Fish","kcal per tonne","413207.547169811","385563.38028169","525179.856115108","374358.974358974","384210.526315789"
0,0,"Freshwater Fish","Fraction Consumption Waste Freshwater Fish","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Freshwater Fish","Fraction Food supply consumed Freshwater Fish","fraction","0.00298552932216299","0.00267864115579852","0.00265788454087563","0.00270185112248917","0.00266718506998445"
0,0,"Freshwater Fish","Fraction Food supply wasted Freshwater Fish","fraction","6.09291698400609e-05","5.46661460367044e-05","5.42425416505231e-05","5.51398188263096e-05","5.44323483670296e-05"
0,0,"Freshwater Fish","Kcal per tonne Freshwater Fish","kcal per tonne","768421.052631579","703856.749311295","692411.924119241","681333.333333333","698087.431693989"
0,0,"Marine Fish, Other","Fraction Consumption Waste Marine Fish, Other","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Marine Fish, Other","Fraction Food supply consumed Marine Fish, Other","fraction","0.000373191165270373","0.000382663022256931","0.000379697791553661","0.000385978731784167","0.000381026438569207"
0,0,"Marine Fish, Other","Fraction Food supply wasted Marine Fish, Other","fraction","7.61614623000762e-06","7.80944943381492e-06","7.74893452150329e-06","7.87711697518708e-06","7.77604976671851e-06"
0,0,"Marine Fish, Other","Kcal per tonne Marine Fish, Other","kcal per tonne","829545.454545454","618644.06779661","1073529.41176471","1013888.88888889","1042857.14285714"
0,0,"Molluscs, Other","Fraction Consumption Waste Molluscs, Other","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Molluscs, Other","Fraction Food supply consumed Molluscs, Other","fraction","0","0","0","0","0"
0,0,"Molluscs, Other","Fraction Food supply wasted Molluscs, Other","fraction","0","0","0","0","0"
0,0,"Molluscs, Other","Kcal per tonne Molluscs, Other","kcal per tonne","0","0","0","0","0"
0,0,"Pelagic Fish","Fraction Consumption Waste Pelagic Fish","fraction","0.02","0.02","0.02","0.02","0.02"
0,0,"Pelagic Fish","Fraction Food supply consumed Pelagic Fish","fraction","0.00447829398324448","0.00344396720031238","0.00303758233242929","0.002315872390705","0.00228615863141524"
0,0,"Pelagic Fish","Fraction Food supply wasted Pelagic Fish","fraction","9.13937547600914e-05","7.02850449043342e-05","6.19914761720264e-05","4.72627018511225e-05","4.6656298600311e-05"
0,0,"Pelagic Fish","Kcal per tonne Pelagic Fish","kcal per tonne","817164.179104478","825376.884422111","815642.458100559","799270.072992701","820224.719101124"
0,0,"Honey","Fraction Consumption Waste Honey","fraction","0.01","0.01","0.01","0.01","0.01"
0,0,"Honey","Fraction Food supply consumed Honey","fraction","0","0","0","0","0"
0,0,"Honey","Fraction Food supply wasted Honey","fraction","0","0","0","0","0"
0,0,"Honey","Kcal per tonne Honey","kcal per tonne","NaN","NaN","NaN","NaN","NaN"
